,objectid,plant_code,plant_name,utility_id,utility_name,sector_name,street_address,city,county,state,zip,primsource,source_desc,tech_desc,install_mw,total_mw,bat_mw,bio_mw,coal_mw,geo_mw,hydro_mw,hydrops_mw,ng_mw,nuclear_mw,crude_mw,solar_mw,wind_mw,other_mw,source,period,longitude,latitude
10,11580,15,Lay Dam,195,Alabama Power Co,Electric Utility,626 County Road 794,Clanton,Chilton,Alabama,35045.0,hydroelectric,Hydroelectric = 180 MW,Conventional Hydroelectric,177.0,180.0,,,,,180.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-86.5187,32.9633
11,11581,16,Martin Dam,195,Alabama Power Co,Electric Utility,675 Overlook Drive,Dadeville,Elmore,Alabama,36078.0,hydroelectric,Hydroelectric = 182.1 MW,Conventional Hydroelectric,210.6,182.1,,,,,182.1,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-85.911442,32.680394
12,11582,17,Mitchell Dam,195,Alabama Power Co,Electric Utility,2235 County Road 93,Verbena,Coosa,Alabama,36091.0,hydroelectric,Hydroelectric = 163.1 MW,Conventional Hydroelectric,170.0,163.1,,,,,163.1,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-86.444892,32.806025
13,11583,18,Lewis Smith Dam,195,Alabama Power Co,Electric Utility,640 Powerhouse Road,Jasper,Walker,Alabama,35501.0,hydroelectric,Hydroelectric = 178 MW,Conventional Hydroelectric,181.0,178.0,,,,,178.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-87.1077,33.9406
14,11584,19,Thurlow Dam,195,Alabama Power Co,Electric Utility,249 Outer Drive,Tallassee,Elmore,Alabama,36078.0,hydroelectric,Hydroelectric = 79.9 MW,Conventional Hydroelectric,91.0,79.9,,,,,79.9,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-85.887614,32.535436
15,11585,20,Weiss Dam,195,Alabama Power Co,Electric Utility,2500 County Road 20,Leesburg,Cherokee,Alabama,35983.0,hydroelectric,Hydroelectric = 81 MW,Conventional Hydroelectric,87.6,81.0,,,,,81.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-85.753806,34.172142
16,11586,21,Yates Dam,195,Alabama Power Co,Electric Utility,County Road 44,Tallassee,Elmore,Alabama,36078.0,hydroelectric,Hydroelectric = 44 MW,Conventional Hydroelectric,50.5,44.0,,,,,44.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-85.8901,32.5743
17,11587,26,E C Gaston,195,Alabama Power Co,Electric Utility,31972 Highway 25 North,Wilsonville,Shelby,Alabama,35186.0,natural gas,"Coal = 832 MW, Natural Gas = 1020 MW, Petroleum = 16 MW",Conventional Steam Coal; Natural Gas Steam Turbine; Petroleum Liquids,2034.0,1868.0,,,832.0,,,,1020.0,,16.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-86.458056,33.244211
18,11588,30,Madelia,29305,City of Madelia - (MN),Electric Utility,24 Abbot Ave. S.W.,City of Madelia,Watonwan,Minnesota,56062.0,petroleum,Petroleum = 10.6 MW,Petroleum Liquids,11.8,10.6,,,,,,,,,10.6,,,,"EIA-860, EIA-860M and EIA-923",202305,-94.4178,44.0501
19,11589,34,Rollins,13402,Nevada Irrigation District,IPP Non-CHP,15531 Arrow Head Lane,Colfax,Placer,California,95713.0,hydroelectric,Hydroelectric = 12.1 MW,Conventional Hydroelectric,12.1,12.1,,,,,12.1,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-120.953341,39.134259
20,11590,38,Millers Ferry,27813,USCE-Mobile District,Electric Utility,1606 Powerhouse Road,Camden,Wilcox,Alabama,36726.0,hydroelectric,Hydroelectric = 90 MW,Conventional Hydroelectric,101.1,90.0,,,,,90.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-87.399767,32.100881
21,11591,46,Browns Ferry,18642,Tennessee Valley Authority,Electric Utility,Shaw Rd. PO Box 2000,Decatur,Limestone,Alabama,35609.0,nuclear,Nuclear = 3661.7 MW,Nuclear,3854.0,3661.7,,,,,,,,3661.7,,,,,"EIA-860, EIA-860M and EIA-923",202305,-87.1189,34.7042
22,11592,47,Colbert,18642,Tennessee Valley Authority,Electric Utility,900 Steam Plant Rd.,Tuscumbia,Colbert,Alabama,35674.0,natural gas,Natural Gas = 363.2 MW,Natural Gas Fired Combustion Turbine,476.0,363.2,,,,,,,363.2,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-87.8486,34.7439
23,11593,48,Guntersville,18642,Tennessee Valley Authority,Electric Utility,3464 Snow Point Rd.,Guntersville,Marshall,Alabama,35976.0,hydroelectric,Hydroelectric = 122.7 MW,Conventional Hydroelectric,115.2,122.7,,,,,122.7,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-86.393931,34.421272
24,11594,49,Wheeler Dam,18642,Tennessee Valley Authority,Electric Utility,24455 Alabama Hwy 101,Town Creek,Lawrence,Alabama,35672.0,hydroelectric,Hydroelectric = 398.2 MW,Conventional Hydroelectric,404.0,398.2,,,,,398.2,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-87.3819,34.8069
25,11595,53,Gantt,189,PowerSouth Energy Cooperative,Electric Utility,28605 Powerhouse Road,Andalusia,Covington,Alabama,36421.0,hydroelectric,Hydroelectric = 2.8 MW,Conventional Hydroelectric,3.0,2.8,,,,,2.8,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-86.479469,31.4033
26,11596,54,J K Smith,5580,"East Kentucky Power Coop, Inc",Electric Utility,12145 Irvine Road,Winchester,Clark,Kentucky,40391.0,natural gas,Natural Gas = 753 MW,Natural Gas Fired Combustion Turbine,1055.0,753.0,,,,,,,753.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-84.1017,37.8833
27,11597,55,Point A,189,PowerSouth Energy Cooperative,Electric Utility,25482 Firetower Lane,Andalusia,Covington,Alabama,36421.0,hydroelectric,Hydroelectric = 5.4 MW,Conventional Hydroelectric,5.2,5.4,,,,,5.4,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-86.518307,31.361146
28,11598,59,Platte,40606,City of Grand Island - (NE),Electric Utility,1035 W Wildwood Drive,Grand Island,Hall,Nebraska,68801.0,coal,Coal = 100 MW,Conventional Steam Coal,109.8,100.0,,,100.0,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-98.348222,40.854765
29,11599,60,Whelan Energy Center,8245,City of Hastings - (NE),Electric Utility,4520 East South St.,Hastings,Adams,Nebraska,68902.0,coal,Coal = 296 MW,Conventional Steam Coal,324.3,296.0,,,296.0,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-98.312437,40.580872
30,11600,62,Annex Creek,213,Alaska Electric Light & Power Co.,Electric Utility,Annex Creek,Juneau,Juneau,Alaska,99801.0,hydroelectric,Hydroelectric = 3.6 MW,Conventional Hydroelectric,4.0,3.6,,,,,3.6,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-134.101,58.3176
31,11601,63,Gold Creek,213,Alaska Electric Light & Power Co.,Electric Utility,700 Capital Ave.,Juneau,Juneau,Alaska,99801.0,petroleum,"Hydroelectric = 1.6 MW, Petroleum = 8.1 MW",Conventional Hydroelectric; Petroleum Liquids;,9.7,9.7,,,,,1.6,,,,8.1,,,,"EIA-860, EIA-860M and EIA-923",202305,-134.4174,58.3107
32,11602,64,Lemon Creek,213,Alaska Electric Light & Power Co.,Electric Utility,5601 Tonsgard Ct.,Juneau,Juneau,Alaska,99801.0,petroleum,Petroleum = 57.5 MW,Petroleum Liquids,61.7,57.5,,,,,,,,,57.5,,,,"EIA-860, EIA-860M and EIA-923",202305,-134.4953,58.3536
33,11603,65,Salmon Creek 1,213,Alaska Electric Light & Power Co.,Electric Utility,2750 Channel Vista Dr.,Juneau,Juneau,Alaska,99801.0,hydroelectric,Hydroelectric = 5.2 MW,Conventional Hydroelectric,8.5,5.2,,,,,5.2,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-134.4631,58.3269
34,11604,66,Skagway,219,Alaska Power and Telephone Co,Electric Utility,110 Spring St,Skagway,Skagway Hoonah Angoon,Alaska,99840.0,petroleum,"Hydroelectric = 1 MW, Petroleum = 4.1 MW",Conventional Hydroelectric; Petroleum Liquids;,4.7,5.1,,,,,1.0,,,,4.1,,,,"EIA-860, EIA-860M and EIA-923",202305,-135.3131,59.4545
35,11605,69,Haines,219,Alaska Power and Telephone Co,Electric Utility,241 Dalton St.,Haines,Haines,Alaska,99927.0,petroleum,Petroleum = 9.6 MW,Petroleum Liquids,9.6,9.6,,,,,,,,,9.6,,,,"EIA-860, EIA-860M and EIA-923",202305,-135.446228,59.235931
36,11606,70,Swan Lake,60123,Southeast Alaska Power Agency,Commercial Non-CHP,Carroll Inlet,Ketchikan,Ketchikan Gateway,Alaska,99901.0,hydroelectric,Hydroelectric = 22.6 MW,Conventional Hydroelectric,22.6,22.6,,,,,22.6,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-131.356111,55.615208
37,11607,71,Terror Lake Microgrid,10433,Kodiak Electric Assn Inc,Electric Utility,20 miles southwest of Kodiak,Kodiak,Kodiak Island,Alaska,99615.0,hydroelectric,Hydroelectric = 33.6 MW,Conventional Hydroelectric,33.6,33.6,,,,,33.6,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-152.895,57.6861
38,11608,72,Venice Hydro,12397,Metropolitan Water District of S CA,Electric Utility,3815 Sepulveda Blvd,Culver City,Los Angeles,California,90230.0,hydroelectric,Hydroelectric = 10.1 MW,Conventional Hydroelectric,10.1,10.1,,,,,10.1,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-118.4168,34.01135
39,11609,75,Hank Nikkels Plant 1,3522,Chugach Electric Assn Inc,Electric Utility,821 E. 1st Ave,Anchorage,Anchorage,Alaska,99501.0,natural gas,"Natural Gas = 60.4 MW, Petroleum = 2 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,77.9,62.4,,,,,,,60.4,,2.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-149.8661,61.2221
40,11610,77,Eklutna Hydro Project,3522,Chugach Electric Assn Inc,Electric Utility,Mile 4 Old Glenn Hwy.,Palmer,Matanuska Susitna,Alaska,99645.0,hydroelectric,Hydroelectric = 44.4 MW,Conventional Hydroelectric,44.4,44.4,,,,,44.4,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-149.15009,61.475211
41,11611,78,Snettisham,213,Alaska Electric Light & Power Co.,Electric Utility,Port Snettisham,Juneau,Juneau,Alaska,99801.0,hydroelectric,Hydroelectric = 78 MW,Conventional Hydroelectric,78.2,78.0,,,,,78.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-133.737,58.1415
42,11612,79,Aurora Energy LLC Chena,986,Aurora Energy LLC,IPP CHP,1206 First Ave.,Fairbanks,Fairbanks North Star,Alaska,99701.0,coal,Coal = 25.7 MW,Conventional Steam Coal,27.5,25.7,,,25.7,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-147.735063,64.847743
43,11613,84,Ketchikan,10210,Ketchikan Public Utilities,Electric Utility,1037 Fair St.,Ketchikan,Ketchikan Gateway,Alaska,99901.0,hydroelectric,Hydroelectric = 4.2 MW,Conventional Hydroelectric,4.2,4.2,,,,,4.2,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-131.633425,55.344641
44,11614,85,S W Bailey,10210,Ketchikan Public Utilities,Electric Utility,3935 Tongass Ave.,Ketchikan,Ketchikan Gateway,Alaska,99901.0,petroleum,Petroleum = 23 MW,Petroleum Liquids,25.9,23.0,,,,,,,,,23.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-131.69696,55.357397
45,11615,88,Ashokan,15296,New York Power Authority,Electric Utility,Route 28A,Kingston,Ulster,New York,12401.0,hydroelectric,Hydroelectric = 4.6 MW,Conventional Hydroelectric,4.6,4.6,,,,,4.6,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-74.2063,41.949
46,11616,90,Snake River,13642,Nome Joint Utility Systems,Electric Utility,1226 Port Road,Nome,Nome,Alaska,99762.0,petroleum,"Petroleum = 16.4 MW, Wind = 1.8 MW",Petroleum Liquids; Onshore Wind Turbine;,18.4,18.2,,,,,,,,,16.4,,1.8,,"EIA-860, EIA-860M and EIA-923",202305,-165.429814,64.505331
47,11617,91,Petersburg,14856,Petersburg Borough - (AK),Electric Utility,11 S. Nordic Drive,Petersburg,Wrangell Petersburg,Alaska,99833.0,petroleum,"Hydroelectric = 1.6 MW, Petroleum = 10.8 MW",Conventional Hydroelectric; Petroleum Liquids;,14.5,12.4,,,,,1.6,,,,10.8,,,,"EIA-860, EIA-860M and EIA-923",202305,-132.957091,56.81104
48,11618,92,Seward (AK),16955,City of Seward - (AK),Electric Utility,605 SeaLion Avenue,Seward,Kenai Peninsula,Alaska,99664.0,petroleum,Petroleum = 15.6 MW,Petroleum Liquids,15.6,15.6,,,,,,,,,15.6,,,,"EIA-860, EIA-860M and EIA-923",202305,-149.43501,60.130922
49,11619,93,Blue Lake Hydro,17271,City & Borough of Sitka - (AK),Electric Utility,SMC,Sitka,Sitka,Alaska,99835.0,hydroelectric,Hydroelectric = 15.9 MW,Conventional Hydroelectric,15.9,15.9,,,,,15.9,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-135.2297,57.0516
50,11620,95,Wrangell,21015,City of Wrangell - (AK),Electric Utility,1043 Case Ave,Wrangell,Wrangell Petersburg,Alaska,99929.0,petroleum,Petroleum = 8.5 MW,Petroleum Liquids,8.5,8.5,,,,,,,,,8.5,,,,"EIA-860, EIA-860M and EIA-923",202305,-132.379439,56.460976
51,11621,96,Beluga,3522,Chugach Electric Assn Inc,Electric Utility,Beluga Power Plant,Beluga,Kenai Peninsula,Alaska,99682.0,natural gas,Natural Gas = 300.4 MW,Natural Gas Fired Combustion Turbine,312.4,300.4,,,,,,,300.4,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-151.0356,61.1861
52,11622,99,Frederickson,15500,Puget Sound Energy Inc,Electric Utility,4714 192nd St East,Tacoma,Pierce,Washington,98446.0,natural gas,Natural Gas = 134 MW,Natural Gas Fired Combustion Turbine,177.8,134.0,,,,,,,134.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-122.365,47.079722
53,11623,100,South Consolidated,16572,Salt River Project,Electric Utility,Unnamed Road,Phoenix,Maricopa,Arizona,85072.0,hydroelectric,Hydroelectric = 1.4 MW,Conventional Hydroelectric,1.4,1.4,,,,,1.4,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-111.781064,33.466477
54,11624,104,J S Eastwood,17609,Southern California Edison Co,Electric Utility,Hwy 168 Sierra National Forest,Shaver Lake,Fresno,California,93664.0,pumped storage,Pumped Storage = 199.8 MW,Hydroelectric Pumped Storage,199.8,199.8,,,,,,199.8,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-119.2567,37.147926
55,11625,108,Holcomb,18315,Sunflower Electric Power Corp,Electric Utility,2440 Holcomb Lane,Holcomb,Finney,Kansas,67851.0,coal,Coal = 359.1 MW,Conventional Steam Coal,348.7,359.1,,,359.1,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-100.9725,37.9308
56,11626,109,Dillingham,13870,"Nushagak Electric Coop, Inc",Electric Utility,557 Kenny Wren Rd.,Dillingham,Dillingham,Alaska,99576.0,petroleum,Petroleum = 11 MW,Petroleum Liquids,11.0,11.0,,,,,,,,,11.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-158.468597,59.042914
57,11627,113,Cholla,803,Arizona Public Service Co,Electric Utility,4801 Cholla Lake Road,Joseph City,Navajo,Arizona,86032.0,coal,Coal = 387 MW,Conventional Steam Coal,425.9,387.0,,,387.0,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-110.3033,34.9394
58,11628,114,Douglas,803,Arizona Public Service Co,Electric Utility,Sulpher Spring Rd/Lawrence Ave,Douglas,Cochise,Arizona,85607.0,petroleum,Petroleum = 15 MW,Petroleum Liquids,26.1,15.0,,,,,,,,,15.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-109.5538,31.364122
59,11629,116,Ocotillo,803,Arizona Public Service Co,Electric Utility,1500 East University,Tempe,Maricopa,Arizona,85281.0,natural gas,Natural Gas = 623.5 MW,Natural Gas Fired Combustion Turbine,806.2,623.5,,,,,,,623.5,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-111.9122,33.4225
60,11630,117,West Phoenix,803,Arizona Public Service Co,Electric Utility,4606 West Hadley,Phoenix,Maricopa,Arizona,85043.0,natural gas,Natural Gas = 920 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,1207.4,920.0,,,,,,,920.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-112.1583,33.4417
61,11631,118,Saguaro,803,Arizona Public Service Co,Electric Utility,Mail Post 228,Red Rock,Pinal,Arizona,85245.0,natural gas,Natural Gas = 176 MW,Natural Gas Fired Combustion Turbine,184.5,176.0,,,,,,,176.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-111.3,32.5517
62,11632,120,Yucca,803,Arizona Public Service Co,Electric Utility,7522 South Somerton Ave.,Yuma,Yuma,Arizona,85364.0,natural gas,"Natural Gas = 257 MW, Petroleum = 71 MW",Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine; Petroleum Liquids,425.0,328.0,,,,,,,257.0,,71.0,,,,"EIA-860, EIA-860M and EIA-923",202305,-114.7106,32.7214
63,11633,124,Demoss Petrie,24211,Tucson Electric Power Co,Electric Utility,2501 N Flowing Wells Road,Tucson,Pima,Arizona,85705.0,natural gas,Natural Gas = 75 MW,Natural Gas Fired Combustion Turbine,85.0,75.0,,,,,,,75.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-110.992148,32.252273
64,11634,126,H Wilson Sundt Generating Station,24211,Tucson Electric Power Co,Electric Utility,3950 E Irvington Road,Tucson,Pima,Arizona,85714.0,natural gas,Natural Gas = 490 MW,Natural Gas Fired Combustion Turbine; Natural Gas Internal Combustion Engine; Natural Gas Steam Turbine,528.9,490.0,,,,,,,490.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-110.9047,32.16
65,11635,130,Cross,17543,South Carolina Public Service Authority,Electric Utility,553 Cross Station Road,Cross,Berkeley,South Carolina,29436.0,coal,Coal = 2370 MW,Conventional Steam Coal,2390.1,2370.0,,,2370.0,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-80.113235,33.371506
66,11636,136,Seminole (FL),21554,Seminole Electric Cooperative Inc,Electric Utility,State Highway 19,Palatka,Putnam,Florida,32708.0,coal,"Coal = 1260 MW, Natural Gas = 1099.4 MW",Conventional Steam Coal; Natural Gas Fired Combined Cycle;,2612.4,2359.4,,,1260.0,,,,1099.4,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-81.632778,29.733056
67,11637,141,Agua Fria,16572,Salt River Project,Electric Utility,7302 W Northern Ave,Glendale,Maricopa,Arizona,85303.0,natural gas,"Battery = 25 MW, Natural Gas = 544 MW, Petroleum = 181 MW,Solar = 0.2 MW",Batteries; Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine; Petroleum Liquids; Solar Photovoltaic,737.5,750.2,25.0,,,,,,544.0,,181.0,0.2,,,"EIA-860, EIA-860M and EIA-923",202305,-112.2153,33.5561
68,11638,143,Crosscut,16572,Salt River Project,Electric Utility,998 W. Washington St.,Tempe,Maricopa,Arizona,85281.0,hydroelectric,Hydroelectric = 3 MW,Conventional Hydroelectric,3.0,3.0,,,,,3.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-111.946052,33.439375
69,11639,145,Horse Mesa,16572,Salt River Project,Electric Utility,20909 E. Apache Trail,Apache Junction,Maricopa,Arizona,85119.0,pumped storage,"Pumped Storage = 119 MW,Hydroelectric = 30 MW",Hydroelectric Pumped Storage; Conventional Hydroelectric;,129.5,149.0,,,,,30.0,119.0,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-111.344,33.5907
70,11640,147,Kyrene,16572,Salt River Project,Electric Utility,7005 S Kyrene Rd.,Tempe,Maricopa,Arizona,85283.0,natural gas,Natural Gas = 525 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine,573.7,525.0,,,,,,,525.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-111.9353,33.3556
71,11641,148,Mormon Flat,16572,Salt River Project,Electric Utility,29600 E. Apache Trail,Apache Junction,Maricopa,Arizona,85119.0,pumped storage,"Pumped Storage = 57.3 MW,Hydroelectric = 11.5 MW",Hydroelectric Pumped Storage; Conventional Hydroelectric;,63.5,68.8,,,,,11.5,57.3,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-111.4431,33.5536
72,11642,149,Roosevelt,16572,Salt River Project,Electric Utility,"29221 N AZ Highway 188, #4",Roosevelt,Maricopa,Arizona,85545.0,hydroelectric,Hydroelectric = 34.8 MW,Conventional Hydroelectric,36.0,34.8,,,,,34.8,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-111.161786,33.671104
73,11643,150,Stewart Mountain,16572,Salt River Project,Electric Utility,P.O. Box 52025 PAB 221,Phoenix,Maricopa,Arizona,85072.0,hydroelectric,Hydroelectric = 13 MW,Conventional Hydroelectric,13.0,13.0,,,,,13.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-111.536,33.5661
74,11644,151,McClure,12745,Modesto Irrigation District,Electric Utility,639 S. McClure Rd.,Modesto,Stanislaus,California,95354.0,natural gas,"Natural Gas = 53.5 MW, Petroleum = 53.5 MW",Natural Gas Fired Combustion Turbine; Petroleum Liquids;,142.4,107.0,,,,,,,53.5,,53.5,,,,"EIA-860, EIA-860M and EIA-923",202305,-120.93139,37.62936
75,11645,152,Davis Dam,2518,U S Bureau of Reclamation,Electric Utility,,Kingman,Mohave,Arizona,86430.0,hydroelectric,Hydroelectric = 254.8 MW,Conventional Hydroelectric,254.8,254.8,,,,,254.8,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-114.570669,35.197044
76,11646,153,Glen Canyon Dam,2518,U S Bureau of Reclamation,Electric Utility,,Page,Coconino,Arizona,86040.0,hydroelectric,Hydroelectric = 1312 MW,Conventional Hydroelectric,1312.0,1312.0,,,,,1312.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-111.483872,36.936614
77,11647,154,Hoover Dam (NV),2518,U S Bureau of Reclamation,Electric Utility,,Boulder City,Clark,Nevada,89006.0,hydroelectric,Hydroelectric = 1039.4 MW,Conventional Hydroelectric,1039.4,1039.4,,,,,1039.4,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-114.738006,36.01551
78,11648,159,Lake Creek Dam,8366,Heber Light & Power Company,Electric Utility,2400 East Center,Heber City,Wasatch,Utah,84032.0,hydroelectric,Hydroelectric = 1 MW,Conventional Hydroelectric,1.5,1.0,,,,,1.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-111.312506,40.493631
79,11649,160,Apache Station,796,Arizona Electric Pwr Coop Inc,Electric Utility,3525 N US Hwy 191,Cochise,Cochise,Arizona,85606.0,natural gas,"Coal = 175 MW, Natural Gas = 373.5 MW",Conventional Steam Coal; Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine,660.7,548.5,,,175.0,,,,373.5,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-109.8931,32.0603
80,11650,161,Turlock Lake,19281,Turlock Irrigation District,Electric Utility,21642 Davis Road,Hickman,Stanislaus,California,95323.0,hydroelectric,Hydroelectric = 3.3 MW,Conventional Hydroelectric,3.3,3.3,,,,,3.3,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-120.594678,37.611461
81,11651,162,Hickman,19281,Turlock Irrigation District,Electric Utility,779 Main Canal,Hickman,Stanislaus,California,95323.0,hydroelectric,Hydroelectric = 1 MW,Conventional Hydroelectric,1.0,1.0,,,,,1.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-120.746247,37.621536
